0.023219954,581.633
0.029024943,583.431
0.034829931,584.939
0.040634920,585.851
0.046439909,586.721
0.052244897,587.752
0.058049886,588.768
0.063854875,590.091
0.069659863,591.381
0.075464852,592.538
0.081269841,593.707
0.087074829,594.948
0.092879818,596.652
0.098684807,598.55
0.104489795,601.327
0.110294784,604.038
0.116099773,607.049
0.121904761,609.551
0.127709750,612.14
0.133514739,614.444
0.139319727,617.196
0.145124716,619.831
0.150929705,622.717
0.156734693,626.186
0.162539682,629.388
0.168344671,632.24
0.174149659,634.894
0.179954648,637.378
0.185759637,639.149
0.191564625,640.297
0.197369614,641.114
0.203174603,641.962
0.208979591,642.426
0.214784580,642.789
0.220589569,643.385
0.226394557,643.656
0.232199546,644.271
0.238004535,644.931
0.243809523,645.702
0.249614512,646.58
0.255419501,647.376
0.261224489,648.346
0.267029478,649.169
0.272834467,649.937
0.278639455,650.678
0.284444444,651.309
0.290249433,652.096
0.296054421,652.807
0.301859410,653.833
0.307664399,654.518
0.313469387,655.24
0.319274376,655.947
0.325079365,656.482
0.330884353,657.189
0.336689342,657.715
0.342494331,658.204
0.348299319,658.525
0.354104308,658.884
0.359909297,659.37
0.365714285,659.68
0.371519274,659.917
0.377324263,660.067
0.383129251,660.122
0.388934240,660.166
0.394739229,660.204
0.400544217,660.076
0.406349206,660.206
0.412154195,660.334
0.417959183,660.57
0.423764172,660.964
0.429569160,661.444
0.435374149,662
0.441179138,662.486
0.446984126,662.94
0.452789115,663.238
0.458594104,663.606
0.464399092,663.865
0.470204081,664.184
0.476009070,664.46
0.481814058,664.65
0.487619047,664.944
0.493424036,665.048
0.499229024,664.94
0.505034013,664.534
0.510839002,663.771
0.516643990,662.606
0.522448979,660.959
0.528253968,658.871
0.534058956,656.047
0.539863945,652.398
0.545668934,647.777
0.551473922,641.906
0.557278911,634.121
0.563083900,626.207
0.568888888,619.893
0.574693877,613.323
0.580498866,607.694
0.586303854,603.289
0.592108843,600.841
0.597913832,599.961
0.603718820,600.554
0.609523809,602.449
0.615328798,604.568
0.621133786,607.02
0.626938775,609.664
0.632743764,612.41
0.638548752,614.874
0.644353741,618.058
0.650158730,621.04
0.655963718,624.294
0.661768707,627.982
0.667573696,631.724
0.673378684,635.463
0.679183673,638.699
0.684988662,641.362
0.690793650,643.081
0.696598639,644.608
0.702403628,645.542
0.708208616,646.832
0.714013605,648.073
0.719818594,649.024
0.725623582,649.895
0.731428571,650.518
0.737233560,650.975
0.743038548,651.556
0.748843537,652.015
0.754648526,652.429
0.760453514,653.107
0.766258503,653.731
0.772063492,654.494
0.777868480,655.378
0.783673469,656.031
0.789478458,656.695
0.795283446,657.171
0.801088435,657.653
0.806893424,658.195
0.812698412,658.662
0.818503401,659.326
0.824308390,659.998
0.830113378,660.802
0.835918367,661.506
0.841723356,662.219
0.847528344,662.777
0.853333333,663.345
0.859138321,663.826
0.864943310,664.155
0.870748299,664.623
0.876553287,664.861
0.882358276,665.182
0.888163265,665.496
0.893968253,665.66
0.899773242,665.925
0.905578231,666.017
0.911383219,666.145
0.917188208,666.222
0.922993197,666.149
0.928798185,666.277
0.934603174,666.146
0.940408163,666.119
0.946213151,666.19
0.952018140,666.121
0.957823129,666.324
0.963628117,666.51
0.969433106,666.688
0.975238095,667.008
0.981043083,667.259
0.986848072,667.567
0.992653061,667.917
0.998458049,668.305
1.004263038,668.693
1.010068027,669.02
1.015873015,669.254
1.021678004,669.443
1.027482993,669.617
1.033287981,669.853
1.039092970,670.213
1.044897959,670.425
1.050702947,670.624
1.056507936,670.702
1.062312925,670.773
1.068117913,670.85
1.073922902,670.943
1.079727891,671.042
1.085532879,671
1.091337868,670.985
1.097142857,670.946
1.102947845,670.974
1.108752834,671.049
1.114557823,671.145
1.120362811,671.176
1.126167800,671.165
1.131972789,671.153
1.137777777,671.015
1.143582766,670.895
1.149387755,670.743
1.155192743,670.554
1.160997732,670.341
1.166802721,670.09
1.172607709,669.715
1.178412698,669.271
1.184217687,668.747
1.190022675,668.065
1.195827664,667.363
1.201632653,666.52
1.207437641,665.822
1.213242630,665.025
1.219047619,664.236
1.224852607,663.366
1.230657596,662.406
1.236462585,661.595
1.242267573,660.803
1.248072562,660.337
1.253877551,660.138
1.259682539,660.175
1.265487528,660.435
1.271292517,660.982
1.277097505,661.815
1.282902494,662.859
1.288707482,664.078
1.294512471,665.331
1.300317460,666.545
1.306122448,667.592
1.311927437,668.687
1.317732426,669.689
1.323537414,670.556
1.329342403,671.422
1.335147392,672.143
1.340952380,672.582
1.346757369,672.819
1.352562358,672.867
1.358367346,672.734
1.364172335,672.599
1.369977324,672.359
1.375782312,672.067
1.381587301,671.698
1.387392290,671.138
1.393197278,670.406
1.399002267,669.543
1.404807256,668.492
1.410612244,667.322
1.416417233,665.916
1.422222222,664.194
1.428027210,662.322
1.433832199,660.417
1.439637188,657.992
1.445442176,655.045
1.451247165,651.435
1.457052154,647.329
1.462857142,643.238
1.468662131,640.297
1.474467120,638.451
1.480272108,637.94
1.486077097,638.193
1.491882086,639.351
1.497687074,640.991
1.503492063,642.99
1.509297052,645.625
1.515102040,648.312
1.520907029,651.76
1.526712018,655.746
1.532517006,659.544
1.538321995,662.593
1.544126984,665.726
1.549931972,668.273
1.555736961,670.233
1.561541950,672.241
1.567346938,674.167
1.573151927,675.751
1.578956916,677.006
1.584761904,677.541
1.590566893,677.721
1.596371882,677.631
1.602176870,677.129
1.607981859,676.355
1.613786848,675.263
1.619591836,673.865
1.625396825,672.369
1.631201814,670.838
1.637006802,669.26
1.642811791,667.465
